group_name,rank_in_group,titulo,salesrank
Baby Product,1,Baby'S Record Keeper And Memory Box,1017
Book,1,The Da Vinci Code,19
Book,2,Sisterhood of the Traveling Pants (Sisterhood of Traveling Pants),21
Book,3,The Tipping Point: How Little Things Can Make a Big Difference,23
Book,4,The Secret Life of Bees,26
Book,5,Good to Great: Why Some Companies Make the Leap... and Others Don't,29
Book,6,Angels & Demons,31
Book,7,The Purpose-Driven Life: What on Earth Am I Here For?,32
Book,8,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",37
Book,9,"The South Beach Diet: The Delicious, Doctor-Designed, Foolproof Plan for Fast and Healthy Weight Loss",38
Book,10,Life of Pi,42
CE,1,SPELLING CORRECTOR,39367
CE,2,"Hal Leonard Beginning Bass Guitar 1, Instructional Video, 30 Minutes",69089
CE,3,"Hal Leonard Beginning Guitar 1, Instructional Video, 30 Minutes",71678
CE,4,FRANKLIN COMP. KJB-1440 Electronic Holy Bible (King James Version),84976
DVD,1,"Star Wars - Episode I, The Phantom Menace (Widescreen Edition)",28
DVD,2,Band of Brothers,47
DVD,3,The Little Mermaid (Limited Issue),49
DVD,4,The Wizard of Oz,55
DVD,5,"Star Wars - Episode II, Attack of the Clones (Widescreen Edition)",85
DVD,6,Fawlty Towers - The Complete Collection,85
DVD,7,Jerry Seinfeld Live on Broadway: I'm Telling You for the Last Time,88
DVD,8,Monty Python and the Holy Grail (Special Edition),89
DVD,9,The Day the Earth Stood Still,90
DVD,10,Sex and the City - The Complete First Season,102
Music,1,Buzz Buzz,27
Music,2,A Rush of Blood to the Head,33
Music,3,Michael Bublé,42
Music,4,Come Away with Me,46
Music,5,Songs About Jane,53
Music,6,Facing Future,55
Music,7,Victor Vito,62
Music,8,Parachutes,67
Music,9,On And On,68
Music,10,The Beatles 1,69
Software,1,ClickArt Christian Publishing Suite 3,200
Software,2,RINGDISC Wagner: The Ring Disc,327
Software,3,Zondervan Bible Study Library: Leader's Edition 5.0,1955
Software,4,Just Enough Vocals The Learning Co,3771
Software,5,WINDOWS NT SERVER V4.0 RESOURCE,3828
Sports,1,Yoga Kit Living Arts,4684
Toy,1,IlluStory Book Kit,59
Toy,2,Wizard Card Game Deluxe,1890
Toy,3,Photostory Junior Book Kit,2288
Toy,4,Party Tyme Karaoke CD Oldies,4053
Toy,5,Party Tyme Karaoke CD Kids Songs,7812
Toy,6,Party Tyme Karaoke CD: V2 Super Hits,10732
Toy,7,The Songs of Britney Spears & Christina Aguilera,31296
Toy,8,R- Photostory Senior,45241
Video,1,The War of the Worlds,1
Video,2,Shirley Valentine,2
Video,3,Leslie Sansone - Walk Away the Pounds - Super Fat Burning,6
Video,4,Robin Hood - Men in Tights,7
Video,5,Richard Simmons - Sweatin' to the Oldies,8
Video,6,Howard the Duck,12
Video,7,Charlotte's Web,14
Video,8,A Tree Grows in Brooklyn,16
Video,9,The Jungle Book,17
Video,10,My Neighbor Totoro,17
Video Games,1,PRIMA PUBLISHING Dark Cloud 2 Official Strategy Guide,339
